epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2055.6,1.19916,1.35293,1.21428,0.76099,0.5891,0.68507,0.43791,1.1893,1.10809,1.17601,0.00333292,0.00333292,0.00333292
2,4095.73,1.3013,1.22989,1.28006,0.75703,0.57621,0.67876,0.43627,1.19805,1.05053,1.19433,0.00653426,0.00653426,0.00653426
3,6103.29,1.38766,1.31579,1.34777,0.73192,0.57397,0.66146,0.41968,1.23983,1.07143,1.23391,0.0096036,0.0096036,0.0096036
4,8103.29,1.39402,1.31222,1.35776,0.7469,0.58424,0.67947,0.43733,1.198,1.01315,1.20959,0.009406,0.009406,0.009406
5,10104.1,1.34162,1.23122,1.32289,0.76035,0.59824,0.69599,0.45665,1.15964,0.96182,1.18264,0.009208,0.009208,0.009208
6,12108.9,1.31168,1.19246,1.30362,0.77195,0.60908,0.70838,0.46904,1.13156,0.9285,1.16374,0.00901,0.00901,0.00901
7,14111.1,1.28841,1.15999,1.28771,0.77118,0.61432,0.71311,0.47509,1.11927,0.90541,1.1554,0.008812,0.008812,0.008812
8,16113.8,1.27063,1.13603,1.27658,0.77339,0.61759,0.71938,0.48288,1.10276,0.88976,1.14415,0.008614,0.008614,0.008614
9,18114.6,1.25644,1.11725,1.26629,0.77707,0.62595,0.72557,0.48744,1.09411,0.87684,1.13745,0.008416,0.008416,0.008416
10,20117.7,1.24603,1.09943,1.25979,0.78616,0.62276,0.72934,0.49203,1.08502,0.86374,1.13141,0.008218,0.008218,0.008218
11,22118.2,1.2396,1.09021,1.2547,0.78233,0.63259,0.73268,0.49563,1.07981,0.85534,1.12822,0.00802,0.00802,0.00802
12,24119.1,1.22916,1.07812,1.24973,0.78434,0.63441,0.73545,0.49871,1.07229,0.84767,1.12245,0.007822,0.007822,0.007822
13,26117.8,1.22126,1.06658,1.24189,0.7859,0.63515,0.73709,0.50002,1.06926,0.84364,1.1199,0.007624,0.007624,0.007624
14,28116.8,1.21593,1.05756,1.23657,0.78365,0.63831,0.73851,0.50162,1.06623,0.83936,1.11786,0.007426,0.007426,0.007426
15,30115.8,1.2096,1.0518,1.23258,0.78639,0.63866,0.73977,0.50268,1.06454,0.83541,1.11626,0.007228,0.007228,0.007228
16,32115.3,1.20464,1.04262,1.23036,0.78941,0.63577,0.74043,0.50383,1.06288,0.83234,1.11522,0.00703,0.00703,0.00703
17,34112.5,1.19865,1.03577,1.22714,0.79022,0.63704,0.74222,0.50519,1.06058,0.82996,1.1137,0.006832,0.006832,0.006832
18,36109.2,1.19217,1.0265,1.22319,0.79268,0.63795,0.74251,0.50634,1.05924,0.82693,1.11261,0.006634,0.006634,0.006634
19,38109.1,1.18899,1.02388,1.22028,0.79432,0.63731,0.74356,0.50745,1.05826,0.82534,1.11227,0.006436,0.006436,0.006436
20,40108.3,1.18255,1.01489,1.21518,0.79343,0.64086,0.74433,0.50845,1.05623,0.8232,1.11069,0.006238,0.006238,0.006238
21,42107.6,1.18042,1.00933,1.21423,0.78746,0.64512,0.74548,0.50981,1.05493,0.82067,1.10944,0.00604,0.00604,0.00604
22,44107.4,1.1765,1.00434,1.21177,0.79256,0.64545,0.74647,0.51049,1.05328,0.81897,1.10808,0.005842,0.005842,0.005842
23,46108,1.17305,1.00039,1.20952,0.7941,0.6456,0.74731,0.51109,1.05219,0.81681,1.10704,0.005644,0.005644,0.005644
24,48101.8,1.1654,0.99221,1.20617,0.7898,0.64877,0.74824,0.51192,1.05027,0.81429,1.1055,0.005446,0.005446,0.005446
25,50088.4,1.16534,0.99091,1.20228,0.79037,0.65067,0.7493,0.51338,1.04827,0.81172,1.10396,0.005248,0.005248,0.005248
26,52074.9,1.15915,0.98493,1.20162,0.79219,0.64988,0.75027,0.51438,1.04673,0.80961,1.10256,0.00505,0.00505,0.00505
27,54067.6,1.15726,0.98065,1.19902,0.78781,0.65349,0.75126,0.51561,1.04458,0.80759,1.10099,0.004852,0.004852,0.004852
28,56056.7,1.15137,0.97252,1.19635,0.78931,0.65331,0.75185,0.51659,1.04284,0.80545,1.09958,0.004654,0.004654,0.004654
29,58049.4,1.1459,0.96493,1.19244,0.78756,0.65476,0.75288,0.51747,1.04138,0.80285,1.0983,0.004456,0.004456,0.004456
30,60053.9,1.1439,0.96354,1.19095,0.79065,0.65503,0.7534,0.51812,1.04015,0.80001,1.09702,0.004258,0.004258,0.004258
31,62058,1.14049,0.95961,1.18965,0.79178,0.65558,0.7541,0.5189,1.03806,0.79794,1.09502,0.00406,0.00406,0.00406
32,64054.6,1.13506,0.9526,1.18444,0.79172,0.65631,0.75498,0.51997,1.03604,0.79598,1.09338,0.003862,0.003862,0.003862
33,66050.1,1.13084,0.9476,1.18309,0.79404,0.65576,0.75587,0.52097,1.03425,0.79384,1.09203,0.003664,0.003664,0.003664
